walletId,defaultTicket,goldTicket
6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,100,15
ABbVp7NFR7mwtJ9z3uteJi15gxKePjFtSFsQXA6j2ixP,100,15
FjGgqcpCNRcksRzMHRimgHsvCLr5EkCmrkRWTp9CeMAr,100,15
FgXxvngJSZAbdiWokN38xc6koixx6QazJfHJ5fvDwmNH,100,15
7VzRBspssaxkwCXSvnMfT6KM1LRk9CvYShcWAmGYuRg5,100,15
6kU22XxT98yXgtUhgVJE8gacxKVUCVLd5r81doeyoae3,100,15
3thr5ofhZRDpPDd4BYMEi1RXUwkeJPyLTw7Qnq1Z6aZ1,100,15
5iBUcr1g9RvkMpTDRxfCtHH1fKuaCKn8Bxgo9swhRBGG,100,15
8aApPZdTCpzySBFnP6GBsXkk4KDjjtjFL2XsZhnaE2Tp,100,15
9vuVpV8XjY7WTd9deiX3XKq53eZbtnaE8J3PZHnuSkiw,100,15
ExHaaJBntmesZrwWsvTXB8CyRehGb7QfMQgXkSQECoxk,100,15
2kMXwrAbo6DMKGzzyToTYTdVYPsqKtn8wq2UJDM5M7nE,100,15
9obQiVbynaS55rQRJHVW9uDEwQ8oWFesKzazBb2Lu2gD,100,15
8S8kfQrqyAMqJkB9ZcJKbHgHwFBYMhfCu35n3wvF9vZh,100,15
CnnGaFbJ85E3UTfzm2gqQuGzkK3W3o2KkipKFemBEtnT,100,15
EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,100,15
4JCZUq72QyY5k2rNnaz6VJAYKcR5TpRksQ28gHisxntt,100,15
4rU9NTDjYsK6VkMLc4SWfbsbLeyjaHRYers27R6wa9GL,100,15
2xj4uMssAWAxN6ibx8bUMQhWRSTwLSgEjB2QymdJCqLX,100,15
FzuEfP8GHEVRcTdAFvu5Psxex77ESmvLHwZZZbTTDVb9,100,15
3D9VAFYou1uWdFxSFBj3KzPTBXpXVNTttX1BZJ2UQP4a,100,15
9hQ4DrKRv15VimW76ve5ZFb6AA3Q6bJjn8SZGfZC93xx,100,15
6iXh5CdA6EGvRLKn1UFe6GRvUjFYxXTQZpbgvM8F3H96,100,15
3RuWNCp2U8NkdHH5tP3P5V9Y8EZN8rMEZQHuQ71F2G1T,100,15
J7de8GXfrvkKDwdsp9ZC8zPAedFQLLwrd6PedjuWb8is,100,15
4QUZBp5RvB8jzyXmeRvUqfgrvikf3R43VkRYssyxPBLh,100,15
13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,100,15
6VphTGR3svs2WensjYHEyBrZEj8Au7xVsA4RWeJQ9kwp,100,15
BdgPMPbN5DVpRni9WR962dxxxDB88NqjAfZg1uJhCa3X,100,15
8qFABfwHQQJAg4b5W62LekVCTvR2GXgVxMLnPomfUeKu,100,15
9VWAi29Sed85gERDQWYCovM7UMN7d2pL2wsj8oFD6sRe,100,15
B7VYvbo8qFEfisDD2izdssXoKowWi8pc87wu2vcgQ2cM,100,15
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,100,15
CEZT7vgDPfCriksFrkvfmawRjVTg8wrFYY7xnjz98qpT,50,5
EUaHhHnAu1pJ7wLsyHYBiNKBHHsECmoSzmHh68wTKx1D,50,5
7irD8xgJW4sZhwtTi2aFaCmrGabLitJSmRmAVzGHzQmA,50,5
5hLoNW1SgmqTgLCw1xYyF5BhF7VxPSsVemqviitN9ZvX,50,5
61w6KSfvBpEdYgyiqRVoNU9e5kDcXMzaLUr5HASeJjhp,50,5
GaHmQvmHyPFey1p4tgiDgaz8fvAkxEQ6b7cRwMn5kbJQ,50,5
Lf2dWfN34anbHXL99S7kgEQkmTyewnsdrNMM6q7mtGw,50,5
6f6E1hTYrt1GQmQdoZRc6Q3hetazpR9NdA5pcn8miizE,50,5
88GW6eSHhkyYr6n4YemzFYs8T1swNBMSVpxn3GrLEXKv,50,5
9mNR6Wz3YpS5nCTRSuX8nCTavmfndEdnYkthc3mg8qDs,50,5
GjFveoPYPj2KZwDHRckx9Mb3LzGgwjYVWP8wcJ4HMP5K,50,5
6XHbA1R2HvB9sn7rAUNcDJZEChaDiaqfjafinVkcP6qB,50,5
CEw46U5swbDHnr5KspqGJcc1FR5DEDn6o3vDnkRa7Fwa,50,5
CBwKMSZPu7fFXZApUHSuhPJSk959njB9ndPLSdUijKYo,50,5
6eQNjqFysvyQbahN7P1n62G4qJDdGUn3sbJyNtpZSzcc,50,5
ANXaWmVgFPKa1ngqx1KnUhKi6Xi81B9KXvmp8cKqtqcp,50,5
AL8AAEKXuqxDzqLu91W4sQPMR13KNTfVBXcVq86uhGjs,50,5
FVrfzVXNUbUAYYA3QGKZaqQwbmmNy7EouKs85do765fY,50,5
6G5t8vdwGjVhhrLU37pgamMaTZfgcWUiKfmb9HHDtoVa,50,5
Day71ejTWxGygVZjKxe42tUMGc8WTqXwQLPB3Fwsx5GR,50,5
HDu9DUEm4B2H3JFTtogn2ovpv8Fc9QbrxFtfXn96MGCD,50,5
7S5sbBx3kTTgaYyN3jaZVwmhAwSeYaeLTtABLR6UBWU1,50,5
A4ALCDetWkWCzVy9hLGVTykf9gHRBPskNruTorw8MsFy,50,5
3ag1pgAQEW97FwxYK9E79o9G1QC47yt3wf14HntHFHo6,50,5
8DECpkLEeEmbrTVK4ysGmuqujrZd7Pb1jTwBBM6jcknv,50,5
9YN8Q1siXKLzDMSGKrA5Ppr3Xjr9ungonxovjkEPDdqD,50,5
5KPSVwDfUV4GUfCqPQHg4FjRnJqSTCLtyapPTSJNuGS4,50,5
8gLMsfczqWXjCxH6LMuKJTQ2fKaT2naACpLarMxxd7eP,50,5
FGDHQFJwTMmPdzqzxqD4ZQwgP5SPLGKtfpD9oWou6sMq,50,5
5YQ12Cm7VmD8heHNh7JXKsD38Go7VrhuBirdG2hxXLt4,50,5
7RDhHrbQF6st2fjodzmHZevy3cb2G92WcoNX53syBCiR,50,5
CS5Ewd6pm9xFDyDX4oByQ5jneiXqiUJjLdSKAJyrr8YF,50,5
DHePLicWMMMVha1Z3YNUu6KKtuqNapMpGfaCFifNV2tU,50,5
2dVmNWrnp7QUKUaex9qqXBpVL7iMa9g1fnF6W4jHEMEQ,50,5
7auaB3YpoBQCY7Phau9sxvzmfKLcrdR2s8bwY7dcqrDn,50,5
9nL4wPd5SzvtnDQ8wq8zodMrTGK8txPeRQ9MW9UVvBcH,50,5
EqoBAJTuFxzV8xXp81Gwi1fAaom32i9BxtpCtq5EAJLo,50,5
8ryawRYsGcBn4VduJFvDUbb3CV4tUZ1cjk515hJcFTJV,50,5
FKeDej5eBq4EcSH19QF3493DUaJRPDNrZ9LLobKc6knx,50,5
9t3jSCXFGB3Xmf3qffd6k5CBZczaQqTP5zqbLq9JDTEs,50,5
GefkwpoQmJV2jB6SmbsS9vH53u4YbwZM1FhhREoP7nMV,50,5
9DBuiJFmKnajsLZq2ATZR6VBiGPgVyamEYdU62r8YYGS,50,5
937fkvdfBZCjcZ9y5EhSkECNyWLkFExQ1xgWQzy7q4UF,50,5
5eEfN6YHHwXN5ia9RGph5SDPep5xihGB5Y6tPQVnSEXX,50,5
D6FMG1nxZAZcPgVjfKcxKzSoTuWUrm3gwABmgn9cdyX4,50,5
8b1Hcv1wRYDY4qUCoR3AgcLfE59qshZQ3eeiCAVkNuCy,50,5
ZojB5FizdoDWJvg2JBtDymLP1efvTxTC1HYyYUtceay,50,5
6Hnvr4o7L74VbWxagtC4AuMmpNjFpfM1wCazm4WM9zER,50,5
9pTkzT4UqJWTui4m4VgbCCZ2K6f8FaSp94Luz85kWu87,50,5
DZfEKewcW9hVzst5sexoqj2thm5UwPiLtJZ8iKy8oUxo,50,5
